Day,Start_Hour,End_Hour,N_Jobs,Model_Type,KDE_Bandwidth,P_30_Snap,Timestamp
Vrijdag,10,10,315,Hybrid_KDE,0.2,0.937,2026-08-05 02:54:42
Vrijdag,11,11,227,Hybrid_KDE,0.2,0.894,2026-08-05 02:54:48
Vrijdag,12,12,248,Hybrid_KDE,0.2,0.952,2026-08-05 02:54:54
Vrijdag,13,13,257,Hybrid_KDE,0.2,0.93,2026-08-05 02:55:02
Vrijdag,14,14,146,Hybrid_KDE,0.2,0.952,2026-08-05 02:55:14
Vrijdag,15,15,50,Hybrid_KDE,0.15,0.94,2026-08-05 02:55:33
Vrijdag,16,16,184,Hybrid_KDE,0.15,0.984,2026-08-05 02:55:39
Vrijdag,17,17,285,Hybrid_KDE,0.15,0.979,2026-08-05 02:55:44
Vrijdag,18,18,13,Hybrid_KDE,0.15,1,2026-08-05 02:55:49
Vrijdag,19,23,20,Hybrid_KDE,0.15,1,2026-08-05 02:55:58
